Lightcurve (raw) :   64675
Time (BJD)     Flux      Status
--------------------------------------
142.93484        0.00029    1
142.95527       -0.00018    1
142.97571       -0.00036    1
142.99614       -0.00048    1
143.01658       -0.00064    1
143.03701       -0.00069    1
143.05744       -0.00040    1
143.07788       -0.00017    1
143.09831        0.00027    1
143.11875        0.00084    1
143.13918        0.00075    1
143.15962        0.00044    1
143.18005        0.00023    1
143.20048       -0.00024    1
143.22092       -0.00015    1
143.24135       -0.00088    1
143.26179       -0.00083    1
143.28222       -0.00079    1
143.30266       -0.00030    1
143.32309        0.00002    1
143.36396        0.00054    1
143.38439        0.00055    1
143.40483        0.00046    1
143.42526        0.00016    1
143.44570       -0.00030    1
143.46613       -0.00068    1
143.48657       -0.00075    1
143.50700       -0.00054    1
143.52743       -0.00066    1
143.54787       -0.00016    1
143.56830        0.00029    1
143.58874        0.00070    1
143.60917        0.00094    1
143.65004        0.00074    1
143.67048        0.00046    1
143.69091       -0.00001    1
143.71134       -0.00056    1
143.73178       -0.00068    1
143.75221       -0.00074    1
143.77265       -0.00062    1
143.79308       -0.00016    1
143.81352        0.00031    1
143.83395        0.00014    1
143.85438        0.00045    1
143.87482        0.00036    1
143.89525        0.00019    1
143.91569        0.00032    1
143.93612        0.00004    1
143.95656       -0.00033    1
143.97699       -0.00025    1
143.99743       -0.00024    1
144.01786       -0.00027    1
144.03829       -0.00003    1
144.05873        0.00012    1
144.07916        0.00015    1
144.09960        0.00029    1
144.12003        0.00024    1
144.14047        0.00002    1
144.16090        0.00004    1
144.18133       -0.00029    1
144.20177       -0.00013    1
144.22220       -0.00001    1
144.24264       -0.00010    1
144.26307       -0.00009    1
144.28351        0.00039    1
144.30394        0.00025    1
144.32438        0.00026    1
144.34481       -0.00011    1
144.36524       -0.00011    1
144.38568       -0.00012    1
144.40611       -0.00015    1
144.42655       -0.00017    1
144.44698       -0.00035    1
144.46742       -0.00023    1
144.48785        0.00005    1
144.50828       -0.00002    1
144.52872        0.00013    1
144.54915       -0.00009    1
144.56959       -0.00011    1
144.59002        0.00001    1
144.61046        0.00033    1
144.63089        0.00014    1
144.65132        0.00023    1
144.67176        0.00005    1
144.69219        0.00029    1
144.71263        0.00086    1
144.73306        0.00029    1
144.75350        0.00010    1
144.77393        0.00010    1
144.79437       -0.00027    1
144.81480       -0.00035    1
144.83523       -0.00009    1
144.85567       -0.00025    1
144.87610       -0.00012    1
144.89654        0.00013    1
144.91697        0.00036    1
144.93741        0.00042    1
144.95784        0.00025    1
144.97827        0.00022    1
144.99871        0.00004    1
145.01914       -0.00024    1
145.03958       -0.00032    1
145.06001       -0.00018    1
145.08045       -0.00015    1
145.10088        0.00010    1
145.12132        0.00011    1
145.14175        0.00009    1
145.16218        0.00016    1
145.18262        0.00040    1
145.20305        0.00028    1
145.22349       -0.00023    1
145.24392       -0.00034    1
145.26436       -0.00056    1
145.28479       -0.00018    1
145.30522       -0.00001    1
145.32566        0.00022    1
145.34609        0.00017    1
145.36653        0.00036    1
145.38696        0.00052    1
145.40740        0.00037    1
145.42783        0.00029    1
145.44827       -0.00031    1
145.46870       -0.00059    1
145.48913       -0.00064    1
145.50957        0.00008    1
145.53000       -0.00036    1
145.55044       -0.00005    1
145.57087        0.00024    1
145.59131        0.00066    1
145.61174        0.00057    1
145.63217        0.00066    1
145.65261        0.00065    1
145.67304        0.00007    1
145.69348       -0.00005    1
145.71391       -0.00054    1
145.73435       -0.00093    1
145.75478       -0.00087    1
145.77522       -0.00055    1
145.79565       -0.00033    1
145.81608        0.00020    1
145.83652        0.00022    1
145.85695        0.00046    1
145.87739        0.00041    1
145.89782        0.00030    1
145.91826       -0.00013    1
145.93869       -0.00048    1
145.95912       -0.00066    1
145.97956       -0.00051    1
145.99999       -0.00036    1
146.02043       -0.00032    1
146.04086        0.00008    1
146.06130        0.00039    1
146.08173        0.00068    1
146.10216        0.00086    1
146.12260        0.00081    1
146.14303        0.00061    1
146.16347       -0.00006    1
146.18390       -0.00005    1
146.20434       -0.00052    1
146.22477       -0.00067    1
146.24521       -0.00064    1
146.26564       -0.00033    1
146.28607        0.00002    1
146.30651        0.00048    1
146.34738        0.00044    1
146.36781        0.00031    1
146.38825        0.00018    1
146.40868       -0.00013    1
146.42911       -0.00011    1
146.44955       -0.00014    1
146.46998       -0.00037    1
146.49042       -0.00017    1
146.51085       -0.00037    1
146.53129       -0.00022    1
146.55172       -0.00010    1
146.57216        0.00019    1
146.59259        0.00006    1
146.61302       -0.00009    1
146.63346        0.00005    1
146.65389       -0.00012    1
146.67433       -0.00012    1
146.69476        0.00026    1
146.71520       -0.00011    1
146.73563        0.00009    1
146.75606        0.00013    1
146.77650        0.00021    1
146.79693        0.00037    1
146.81737        0.00015    1
146.83780       -0.00022    1
146.85824       -0.00021    1
146.87867       -0.00015    1
146.89910        0.00012    1
146.91954        0.00007    1
146.93997       -0.00006    1
146.96041       -0.00002    1
146.98084        0.00009    1
147.00128        0.00014    1
147.02171       -0.00005    1
147.04215       -0.00011    1
147.06258       -0.00004    1
147.08301       -0.00008    1
147.10345        0.00014    1
147.12388       -0.00000    1
147.14432       -0.00002    1
147.16475        0.00019    1
147.18519        0.00031    1
147.20562        0.00032    1
147.22605        0.00005    1
147.24649       -0.00024    1
147.26692       -0.00012    1
147.28736       -0.00021    1
147.30779       -0.00022    1
147.32823        0.00005    1
147.34866        0.00023    1
147.36910        0.00040    1
147.38953        0.00051    1
147.40996        0.00045    1
147.43040        0.00064    1
147.45083       -0.00004    1
147.47127       -0.00018    1
147.49170       -0.00035    1
147.51214       -0.00053    1
147.53257       -0.00059    1
147.55300       -0.00053    1
147.57344        0.00001    1
147.59387        0.00040    1
147.61431        0.00027    1
147.63474        0.00045    1
147.65518        0.00031    1
147.67561        0.00009    1
147.69604       -0.00008    1
147.71648       -0.00033    1
147.73691       -0.00080    1
147.75735       -0.00070    1
147.77778       -0.00041    1
147.79822       -0.00019    1
147.81865       -0.00018    1
147.83909        0.00051    1
147.85952        0.00054    1
147.87995        0.00058    1
147.92082        0.00036    1
147.94126       -0.00038    1
147.96169       -0.00079    1
